Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.85,-133.45,270.0,bottom
C2,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.05,-133.45,90.0,bottom
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.725,-124.61875,270.0,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.2,-138.35,180.0,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,78.5,-136.35,0.0,bottom
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.35,-130.55,270.0,bottom
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,78.5,-130.0,0.0,bottom
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.35,-124.95,0.0,bottom
D1,D_Small,D_SOD-123,95.25,-84.1375,90.0,bottom
D2,D_Small,D_SOD-123,98.425,-84.1375,90.0,bottom
D3,D_Small,D_SOD-123,119.0625,-88.9,90.0,bottom
D4,D_Small,D_SOD-123,138.1125,-88.9,90.0,bottom
D5,D_Small,D_SOD-123,157.1625,-88.9,90.0,bottom
D6,D_Small,D_SOD-123,176.2125,-88.9,90.0,bottom
D7,D_Small,D_SOD-123,195.2625,-88.9,90.0,bottom
D8,D_Small,D_SOD-123,214.3125,-88.9,90.0,bottom
D9,D_Small,D_SOD-123,233.3625,-88.9,90.0,bottom
D10,D_Small,D_SOD-123,252.4125,-88.9,90.0,bottom
D11,D_Small,D_SOD-123,271.4625,-88.9,90.0,bottom
D12,D_Small,D_SOD-123,290.5125,-88.9,90.0,bottom
D13,D_Small,D_SOD-123,309.5625,-88.9,90.0,bottom
D14,D_Small,D_SOD-123,328.6125,-88.9,90.0,bottom
D15,D_Small,D_SOD-123,342.9,-94.45625,90.0,bottom
D16,D_Small,D_SOD-123,95.25,-114.3,90.0,bottom
D17,D_Small,D_SOD-123,109.5375,-107.95,90.0,bottom
D18,D_Small,D_SOD-123,128.5875,-107.95,90.0,bottom
D19,D_Small,D_SOD-123,147.6375,-107.95,90.0,bottom
D20,D_Small,D_SOD-123,166.6875,-107.95,90.0,bottom
D21,D_Small,D_SOD-123,185.7375,-107.95,90.0,bottom
D22,D_Small,D_SOD-123,204.7875,-107.95,90.0,bottom
D24,D_Small,D_SOD-123,223.8375,-107.95,90.0,bottom
D25,D_Small,D_SOD-123,242.8875,-107.95,90.0,bottom
D26,D_Small,D_SOD-123,261.9375,-107.95,90.0,bottom
D27,D_Small,D_SOD-123,280.9875,-107.95,90.0,bottom
D28,D_Small,D_SOD-123,300.0375,-107.95,90.0,bottom
D29,D_Small,D_SOD-123,319.0875,-107.95,90.0,bottom
D30,D_Small,D_SOD-123,342.9,-107.95,90.0,bottom
D31,D_Small,D_SOD-123,92.075,-114.3,90.0,bottom
D32,D_Small,D_SOD-123,104.775,-127.0,90.0,bottom
D33,D_Small,D_SOD-123,123.825,-127.0,90.0,bottom
D34,D_Small,D_SOD-123,142.875,-127.0,90.0,bottom
D35,D_Small,D_SOD-123,161.925,-127.0,90.0,bottom
D36,D_Small,D_SOD-123,180.975,-127.0,90.0,bottom
D37,D_Small,D_SOD-123,204.7875,-127.0,90.0,bottom
D39,D_Small,D_SOD-123,207.9625,-127.0,90.0,bottom
D40,D_Small,D_SOD-123,247.65,-127.0,90.0,bottom
D41,D_Small,D_SOD-123,266.7,-127.0,90.0,bottom
D42,D_Small,D_SOD-123,285.75,-127.0,90.0,bottom
D43,D_Small,D_SOD-123,304.8,-127.0,90.0,bottom
D44,D_Small,D_SOD-123,323.85,-127.0,90.0,bottom
D45,D_Small,D_SOD-123,327.025,-127.0,90.0,bottom
D46,D_Small,D_SOD-123,86.51875,-150.8125,90.0,bottom
D47,D_Small,D_SOD-123,100.0125,-146.05,90.0,bottom
D48,D_Small,D_SOD-123,119.0625,-146.05,90.0,bottom
D49,D_Small,D_SOD-123,138.1125,-146.05,90.0,bottom
D50,D_Small,D_SOD-123,157.1625,-146.05,90.0,bottom
D51,D_Small,D_SOD-123,176.2125,-146.05,90.0,bottom
D52,D_Small,D_SOD-123,195.2625,-146.05,90.0,bottom
D53,D_Small,D_SOD-123,214.3125,-146.05,90.0,bottom
D54,D_Small,D_SOD-123,233.3625,-146.05,90.0,bottom
D55,D_Small,D_SOD-123,252.4125,-146.05,90.0,bottom
D56,D_Small,D_SOD-123,271.4625,-146.05,90.0,bottom
D57,D_Small,D_SOD-123,290.5125,-146.05,90.0,bottom
D58,D_Small,D_SOD-123,309.5625,-146.05,90.0,bottom
D59,D_Small,D_SOD-123,328.6125,-146.05,90.0,bottom
D60,D_Small,D_SOD-123,342.9,-152.4,90.0,bottom
D61,D_Small,D_SOD-123,80.9625,-165.1,90.0,bottom
D62,D_Small,D_SOD-123,100.0125,-165.1,90.0,bottom
D63,D_Small,D_SOD-123,119.0625,-165.1,90.0,bottom
D64,D_Small,D_SOD-123,138.1125,-165.1,90.0,bottom
D65,D_Small,D_SOD-123,157.1625,-165.1,90.0,bottom
D67,D_Small,D_SOD-123,185.7375,-165.1,90.0,bottom
D68,D_Small,D_SOD-123,214.3125,-165.1,90.0,bottom
D69,D_Small,D_SOD-123,242.8875,-165.1,90.0,bottom
D71,D_Small,D_SOD-123,271.4625,-165.1,90.0,bottom
D72,D_Small,D_SOD-123,290.5125,-165.1,90.0,bottom
D73,D_Small,D_SOD-123,309.5625,-165.1,90.0,bottom
D74,D_Small,D_SOD-123,328.6125,-165.1,90.0,bottom
D75,D_Small,D_SOD-123,342.9,-169.06875,90.0,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,80.16875,-97.63125,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-14,82.06,-86.1025,0.0,bottom
J2,Conn_01x04_MountingPin,JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,92.075,-100.0125,270.0,bottom
MX1,MX-NoLED,SW_MX_HS_1u,73.025,-88.9,180.0,bottom
MX2,MX-NoLED,SW_MX_HS_1u,92.075,-88.9,180.0,bottom
MX3,MX-NoLED,SW_MX_HS_1u,111.125,-88.9,0.0,bottom
MX4,MX-NoLED,SW_MX_HS_1u,130.175,-88.9,0.0,bottom
MX5,MX-NoLED,SW_MX_HS_1u,149.225,-88.9,0.0,bottom
MX6,MX-NoLED,SW_MX_HS_1u,168.275,-88.9,0.0,bottom
MX7,MX-NoLED,SW_MX_HS_1u,187.325,-88.9,0.0,bottom
MX8,MX-NoLED,SW_MX_HS_1u,206.375,-88.9,0.0,bottom
MX9,MX-NoLED,SW_MX_HS_1u,225.425,-88.9,0.0,bottom
MX10,MX-NoLED,SW_MX_HS_1u,244.475,-88.9,0.0,bottom
MX11,MX-NoLED,SW_MX_HS_1u,263.525,-88.9,0.0,bottom
MX12,MX-NoLED,SW_MX_HS_1u,282.575,-88.9,0.0,bottom
MX13,MX-NoLED,SW_MX_HS_1u,301.625,-88.9,0.0,bottom
MX14,MX-NoLED,SW_MX_HS_1u,320.675,-88.9,0.0,bottom
MX15,MX-NoLED,SW_MX_HS_1u,339.725,-88.9,0.0,bottom
MX16,MX-NoLED,SW_MX_HS_1.5u,77.7875,-107.95,0.0,bottom
MX17,MX-NoLED,SW_MX_HS_1u,101.6,-107.95,0.0,bottom
MX18,MX-NoLED,SW_MX_HS_1u,120.65,-107.95,0.0,bottom
MX19,MX-NoLED,SW_MX_HS_1u,139.7,-107.95,0.0,bottom
MX20,MX-NoLED,SW_MX_HS_1u,158.75,-107.95,0.0,bottom
MX21,MX-NoLED,SW_MX_HS_1u,177.8,-107.95,0.0,bottom
MX22,MX-NoLED,SW_MX_HS_1u,196.85,-107.95,0.0,bottom
MX24,MX-NoLED,SW_MX_HS_1u,215.9,-107.95,0.0,bottom
MX25,MX-NoLED,SW_MX_HS_1u,234.95,-107.95,0.0,bottom
MX26,MX-NoLED,SW_MX_HS_1u,254.0,-107.95,0.0,bottom
MX27,MX-NoLED,SW_MX_HS_1u,273.05,-107.95,0.0,bottom
MX28,MX-NoLED,SW_MX_HS_1u,292.1,-107.95,0.0,bottom
MX29,MX-NoLED,SW_MX_HS_1u,311.15,-107.95,0.0,bottom
MX30,MX-NoLED,SW_MX_HS_1.5u,334.9625,-107.95,0.0,bottom
MX31,MX-NoLED,SW_MX_HS_1.25u,75.40625,-127.0,0.0,bottom
MX32,MX-NoLED,SW_MX_HS_1u,96.8375,-127.0,0.0,bottom
MX33,MX-NoLED,SW_MX_HS_1u,115.8875,-127.0,0.0,bottom
MX34,MX-NoLED,SW_MX_HS_1u,134.9375,-127.0,0.0,bottom
MX35,MX-NoLED,SW_MX_HS_1u,153.9875,-127.0,0.0,bottom
MX36,MX-NoLED,SW_MX_HS_1u,173.0375,-127.0,0.0,bottom
MX37,MX-NoLED,SW_MX_HS_1u,192.0875,-127.0,0.0,bottom
MX37_2,MX-NoLED,SW_MX_HS_1.25u,194.46875,-127.0,180.0,bottom
MX39,MX-NoLED,SW_MX_HS_1u,220.6625,-127.0,180.0,bottom
MX39_2,MX-NoLED,SW_MX_HS_1.25u,218.28125,-127.0,0.0,bottom
MX40,MX-NoLED,SW_MX_HS_1u,239.7125,-127.0,0.0,bottom
MX41,MX-NoLED,SW_MX_HS_1u,258.7625,-127.0,0.0,bottom
MX42,MX-NoLED,SW_MX_HS_1u,277.8125,-127.0,0.0,bottom
MX43,MX-NoLED,SW_MX_HS_1u,296.8625,-127.0,0.0,bottom
MX44,MX-NoLED,SW_MX_HS_1u,315.9125,-127.0,0.0,bottom
MX45,MX-NoLED,SW_MX_HS_1.25u,337.34375,-127.0,0.0,bottom
MX46,MX-NoLED,SW_MX_HS_1u,73.025,-146.05,0.0,bottom
MX47,MX-NoLED,SW_MX_HS_1u,92.075,-146.05,0.0,bottom
MX48,MX-NoLED,SW_MX_HS_1u,111.125,-146.05,0.0,bottom
MX49,MX-NoLED,SW_MX_HS_1u,130.175,-146.05,0.0,bottom
MX50,MX-NoLED,SW_MX_HS_1u,149.225,-146.05,0.0,bottom
MX51,MX-NoLED,SW_MX_HS_1u,168.275,-146.05,0.0,bottom
MX52,MX-NoLED,SW_MX_HS_1u,187.325,-146.05,0.0,bottom
MX53,MX-NoLED,SW_MX_HS_1u,206.375,-146.05,0.0,bottom
MX54,MX-NoLED,SW_MX_HS_1u,225.425,-146.05,0.0,bottom
MX55,MX-NoLED,SW_MX_HS_1u,244.475,-146.05,0.0,bottom
MX56,MX-NoLED,SW_MX_HS_1u,263.525,-146.05,0.0,bottom
MX57,MX-NoLED,SW_MX_HS_1u,282.575,-146.05,0.0,bottom
MX58,MX-NoLED,SW_MX_HS_1u,301.625,-146.05,0.0,bottom
MX59,MX-NoLED,SW_MX_HS_1u,320.675,-146.05,0.0,bottom
MX60,MX-NoLED,SW_MX_HS_1u,339.725,-146.05,0.0,bottom
MX61,MX-NoLED,SW_MX_HS_1u,73.025,-165.1,0.0,bottom
MX62,MX-NoLED,SW_MX_HS_1u,92.075,-165.1,0.0,bottom
MX63,MX-NoLED,SW_MX_HS_1u,111.125,-165.1,0.0,bottom
MX64,MX-NoLED,SW_MX_HS_1u,130.175,-165.1,0.0,bottom
MX65,MX-NoLED,SW_MX_HS_1u,149.225,-165.1,0.0,bottom
MX67,MX-NoLED,SW_MX_HS_1u,177.8,-165.1,0.0,bottom
MX68,MX-NoLED,SW_MX_HS_1u,206.375,-165.1,0.0,bottom
