Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.98125,-114.3,270.0,bottom
C2,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.18125,-114.3,90.0,bottom
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.6,-110.9,0.0,bottom
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,97.4,-121.44375,180.0,bottom
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.05,-122.2375,0.0,bottom
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.425,-115.09375,180.0,bottom
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.1375,-114.3,0.0,bottom
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.1375,-112.7125,0.0,bottom
D1,D_Small,D_SOD-123,103.1875,-91.28125,90.0,bottom
D2,D_Small,D_SOD-123,119.0625,-91.28125,90.0,bottom
D3,D_Small,D_SOD-123,122.2375,-91.28125,90.0,bottom
D4,D_Small,D_SOD-123,138.1125,-91.28125,90.0,bottom
D5,D_Small,D_SOD-123,157.1625,-91.28125,90.0,bottom
D6,D_Small,D_SOD-123,176.2125,-91.28125,90.0,bottom
D7,D_Small,D_SOD-123,195.2625,-91.28125,90.0,bottom
D8,D_Small,D_SOD-123,214.3125,-91.28125,90.0,bottom
D9,D_Small,D_SOD-123,233.3625,-91.28125,90.0,bottom
D10,D_Small,D_SOD-123,252.4125,-91.28125,90.0,bottom
D11,D_Small,D_SOD-123,271.4625,-91.28125,90.0,bottom
D12,D_Small,D_SOD-123,290.5125,-91.28125,90.0,bottom
D13,D_Small,D_SOD-123,309.5625,-91.28125,90.0,bottom
D14,D_Small,D_SOD-123,328.6125,-91.28125,90.0,bottom
D15,D_Small,D_SOD-123,331.7875,-91.28125,90.0,bottom
D16,D_Small,D_SOD-123,80.16875,-111.91875,90.0,bottom
D17,D_Small,D_SOD-123,100.0125,-110.33125,90.0,bottom
D18,D_Small,D_SOD-123,119.0625,-110.33125,90.0,bottom
D19,D_Small,D_SOD-123,138.1125,-110.33125,90.0,bottom
D20,D_Small,D_SOD-123,157.1625,-110.33125,90.0,bottom
D21,D_Small,D_SOD-123,176.2125,-110.33125,90.0,bottom
D22,D_Small,D_SOD-123,195.2625,-110.33125,90.0,bottom
D23,D_Small,D_SOD-123,214.3125,-110.33125,90.0,bottom
D24,D_Small,D_SOD-123,233.3625,-110.33125,90.0,bottom
D25,D_Small,D_SOD-123,252.4125,-110.33125,90.0,bottom
D26,D_Small,D_SOD-123,271.4625,-110.33125,90.0,bottom
D27,D_Small,D_SOD-123,290.5125,-110.33125,90.0,bottom
D28,D_Small,D_SOD-123,309.5625,-110.33125,90.0,bottom
D29,D_Small,D_SOD-123,328.6125,-110.33125,90.0,bottom
D30,D_Small,D_SOD-123,331.7875,-110.33125,90.0,bottom
D32,D_Small,D_SOD-123,114.3,-129.38125,90.0,bottom
D33,D_Small,D_SOD-123,117.475,-129.38125,90.0,bottom
D34,D_Small,D_SOD-123,133.35,-129.38125,90.0,bottom
D35,D_Small,D_SOD-123,152.4,-129.38125,90.0,bottom
D36,D_Small,D_SOD-123,171.45,-129.38125,90.0,bottom
D37,D_Small,D_SOD-123,174.625,-129.38125,90.0,bottom
D38,D_Small,D_SOD-123,214.3125,-129.38125,90.0,bottom
D39,D_Small,D_SOD-123,238.125,-129.38125,90.0,bottom
D40,D_Small,D_SOD-123,257.175,-129.38125,90.0,bottom
D41,D_Small,D_SOD-123,276.225,-129.38125,90.0,bottom
D42,D_Small,D_SOD-123,295.275,-129.38125,90.0,bottom
D43,D_Small,D_SOD-123,314.325,-129.38125,90.0,bottom
D44,D_Small,D_SOD-123,319.88125,-129.38125,90.0,bottom
D47,D_Small,D_SOD-123,85.725,-148.43125,90.0,bottom
D48,D_Small,D_SOD-123,109.5375,-148.43125,90.0,bottom
D49,D_Small,D_SOD-123,128.5875,-148.43125,90.0,bottom
D50,D_Small,D_SOD-123,147.6375,-148.43125,90.0,bottom
D51,D_Small,D_SOD-123,166.6875,-148.43125,90.0,bottom
D52,D_Small,D_SOD-123,185.7375,-148.43125,90.0,bottom
D53,D_Small,D_SOD-123,204.7875,-148.43125,90.0,bottom
D54,D_Small,D_SOD-123,242.8875,-148.43125,90.0,bottom
D55,D_Small,D_SOD-123,261.9375,-148.43125,90.0,bottom
D56,D_Small,D_SOD-123,280.9875,-148.43125,90.0,bottom
D57,D_Small,D_SOD-123,300.0375,-148.43125,90.0,bottom
D58,D_Small,D_SOD-123,319.0875,-148.43125,90.0,bottom
D59,D_Small,D_SOD-123,322.2625,-148.43125,90.0,bottom
D61,D_Small,D_SOD-123,80.9625,-167.48125,90.0,bottom
D62,D_Small,D_SOD-123,100.0125,-167.48125,90.0,bottom
D63,D_Small,D_SOD-123,119.0625,-167.48125,90.0,bottom
D64,D_Small,D_SOD-123,138.1125,-167.48125,90.0,bottom
D65,D_Small,D_SOD-123,159.54375,-167.48125,90.0,bottom
D66,D_Small,D_SOD-123,183.35625,-167.48125,90.0,bottom
D67,D_Small,D_SOD-123,187.325,-167.48125,90.0,bottom
D68,D_Small,D_SOD-123,223.8375,-167.48125,90.0,bottom
D69,D_Small,D_SOD-123,227.80625,-167.48125,90.0,bottom
D70,D_Small,D_SOD-123,245.26875,-167.48125,90.0,bottom
D71,D_Small,D_SOD-123,269.08125,-167.48125,90.0,bottom
D72,D_Small,D_SOD-123,290.5125,-167.48125,90.0,bottom
D73,D_Small,D_SOD-123,309.5625,-167.48125,90.0,bottom
D74,D_Small,D_SOD-123,328.6125,-167.48125,90.0,bottom
D75,D_Small,D_SOD-123,331.7875,-167.48125,90.0,bottom
F1,500mA,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,76.2,-97.63125,0.0,bottom
H1,MountingHole,MountingHole_2.2mm_M2_Pad_TopOnly,120.65,-98.425,0.0,top
H2,MountingHole,MountingHole_2.2mm_M2_Pad_TopOnly,206.375,-98.425,0.0,top
H3,MountingHole,MountingHole_2.2mm_M2_Pad_TopOnly,292.1,-98.425,0.0,top
H4,MountingHole,MountingHole_2.2mm_M2_Pad_TopOnly,120.65,-155.575,0.0,top
H5,MountingHole,MountingHole_2.2mm_M2_Pad_TopOnly,206.375,-155.575,0.0,top
H6,MountingHole,MountingHole_2.2mm_M2_Pad_TopOnly,292.1,-155.575,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,82.1,-82.24,180.0,bottom
J2,Conn_01x04_MountingPin,JST_ACH_BM04B-ACHSS-A-GAN-ETF_1x04-1MP_P1.20mm_Vertical,102.39375,-97.63125,270.0,bottom
